Time measurement,Extension,Primary load measurement
(s),(in),(lbf)
"0.00000","0.0000","0.0713"
"0.20000","0.0000","0.0936"
"0.40000","0.0001","0.1417"
"0.60000","0.0002","0.1874"
"0.80000","0.0002","0.2158"
"1.00000","0.0003","0.2578"
"1.20000","0.0004","0.3017"
"1.40000","0.0004","0.3393"
"1.60000","0.0005","0.3770"
"1.80000","0.0006","0.4132"
"2.00000","0.0006","0.4504"
"2.20000","0.0007","0.4869"
"2.40000","0.0008","0.5245"
"2.60000","0.0008","0.5635"
"2.80000","0.0009","0.6055"
"3.00000","0.0010","0.6496"
"3.20000","0.0010","0.6943"
"3.40000","0.0011","0.7393"
"3.60000","0.0012","0.7865"
"3.80000","0.0012","0.8330"
"4.00000","0.0013","0.8417"
"4.20000","0.0014","0.8995"
"4.40000","0.0014","0.9527"
"4.60000","0.0015","1.0035"
"4.80000","0.0016","1.0541"
"5.00000","0.0016","1.1053"
"5.20000","0.0017","1.1164"
"5.40000","0.0018","1.1520"
"5.60000","0.0018","1.2026"
"5.80000","0.0019","1.2506"
"6.00000","0.0020","1.3005"
"6.20000","0.0020","1.3490"
"6.40000","0.0021","1.4043"
"6.60000","0.0022","1.4549"
"6.80000","0.0022","1.5026"
"7.00000","0.0023","1.4422"
"7.20000","0.0024","1.5096"
"7.40000","0.0024","1.5703"
"7.60000","0.0025","1.6248"
"7.80000","0.0026","1.6806"
"8.00000","0.0026","1.7389"
"8.20000","0.0027","1.8003"
"8.40000","0.0028","1.8617"
"8.60000","0.0028","1.9223"
"8.80000","0.0029","1.9801"
"9.00000","0.0030","2.0390"
"9.20000","0.0030","2.1002"
"9.40000","0.0031","2.1602"
"9.60000","0.0032","2.2234"
"9.80000","0.0032","2.2873"
"10.00000","0.0033","2.3507"
"10.20000","0.0034","2.4160"
"10.40000","0.0034","2.4868"
"10.60000","0.0035","2.5578"
"10.80000","0.0036","2.6259"
"11.00000","0.0036","2.6504"
"11.20000","0.0037","2.6437"
"11.40000","0.0038","2.7021"
"11.60000","0.0038","2.7822"
"11.80000","0.0039","2.8611"
"12.00000","0.0040","2.9346"
"12.20000","0.0040","3.0114"
"12.40000","0.0041","3.0863"
"12.60000","0.0042","3.1608"
"12.80000","0.0042","3.2286"
"13.00000","0.0043","3.2848"
"13.20000","0.0044","3.3404"
"13.40000","0.0044","3.3973"
"13.60000","0.0045","3.4558"
"13.80000","0.0046","3.5135"
"14.00000","0.0046","3.5664"
"14.20000","0.0047","3.6123"
"14.40000","0.0048","3.6568"
"14.60000","0.0048","3.7001"
"14.80000","0.0049","3.7429"
"15.00000","0.0050","3.7779"
"15.20000","0.0050","3.8093"
"15.40000","0.0051","3.8409"
"15.60000","0.0052","3.8735"
"15.80000","0.0052","3.9031"
"16.00000","0.0053","3.9293"
"16.20000","0.0054","3.9512"
"16.40000","0.0054","3.9729"
"16.60000","0.0055","3.9939"
"16.80000","0.0056","4.0144"
"17.00000","0.0056","4.0289"
"17.20000","0.0057","4.0346"
"17.40000","0.0058","4.0378"
"17.60000","0.0058","4.0444"
"17.80000","0.0059","4.0563"
"18.00000","0.0060","4.0692"
"18.20000","0.0060","4.0803"
"18.40000","0.0061","4.0925"
"18.60000","0.0062","4.1070"
"18.80000","0.0062","4.1239"
"19.00000","0.0063","4.1834"
"19.20000","0.0064","4.2901"
"19.40000","0.0064","4.3915"
"19.60000","0.0065","4.4931"
"19.80000","0.0066","4.5972"
"20.00000","0.0066","4.7038"
"20.20000","0.0067","4.8084"
"20.40000","0.0068","4.9072"
"20.60000","0.0068","5.0027"
"20.80000","0.0069","5.1022"
"21.00000","0.0070","5.2073"
"21.20000","0.0070","5.3125"
"21.40000","0.0071","5.4155"
"21.60000","0.0072","5.5161"
"21.80000","0.0072","5.6213"
"22.00000","0.0073","5.7271"
"22.20000","0.0074","5.8316"
"22.40000","0.0074","5.9328"
"22.60000","0.0075","6.0278"
"22.80000","0.0076","6.1258"
"23.00000","0.0076","6.2255"
"23.20000","0.0077","6.3284"
"23.40000","0.0078","6.4333"
"23.60000","0.0078","6.5298"
"23.80000","0.0079","6.6212"
"24.00000","0.0080","6.7155"
"24.20000","0.0080","6.8171"
"24.40000","0.0081","6.9193"
"24.60000","0.0082","7.0162"
"24.80000","0.0082","7.1082"
"25.00000","0.0083","7.2036"
"25.20000","0.0084","7.2980"
"25.40000","0.0084","7.3928"
"25.60000","0.0085","7.4846"
"25.80000","0.0086","7.5711"
"26.00000","0.0086","7.6605"
"26.20000","0.0087","7.7528"
"26.40000","0.0088","7.8474"
"26.60000","0.0088","7.9401"
